Layer_1_Weights,Layer_1_Biases,Layer_3_Weights,Layer_3_Biases
-0.98206764,-0.7839573,2.6199927,-0.1751563
-2.3261467e-18,-0.40446785,-0.809751,
0.13258056,0.21045433,-0.5717943,
0.6592268,,,
1.1959109e-34,,,
-0.10407036,,,
0.45931953,,,
1.11648316e-35,,,
-0.061237447,,,
