Tamb,I,Tcool_in,mass_flowrate,eff_gain,Tp_no_cool,Tp_cool
35.9,407,23.169748290554086,0.0003020408163265306,0.0137277124932292,319.863533036890,309.0364717562179
33.5,190,23.654720502564555,0.0001,0.00896123724137270,311.793197644598,306.63690528383364
24.8,132,27.95191842341442,0.006969387755102042,0.00330523616606245,301.642089434516,297.95826050309677
28.3,337,24.830612226671736,0.003130612244897959,0.00829594519552228,310.673511301506,301.4510829883762
32.1,549,25.28094105753035,0.0001,0.0132200158579370,319.932307094132,305.24973668899077
34.9,740,22.71145476109678,0.0003020408163265306,0.0184466360325898,327.474151405978,308.0444384795291
36.8,893,25.12661832296302,0.0001,0.0209215241360945,333.070399057477,309.9485614361997
38.3,993,29.889785038685904,0.00636326530612245,0.0228963900379357,336.907161600914,311.4563400625047
39.400000000000006,1036,26.901992443039457,0.0015142857142857145,0.0237629181805116,338.955113829468,312.5501459116068
40.0,1000,23.040108918476122,0.0003020408163265306,0.0246513993083601,338.626006276045,313.14163513588124
40.1,924,26.303552679629856,0.0003020408163265306,0.0218473920383920,336.863960573394,313.2455272585322
39.7,774,23.735162382898164,0.0003020408163265306,0.0208215600885200,332.796187331025,312.83859558823434
38.8,604,25.206115461900737,0.0003020408163265306,0.0169893160437689,327.688675489214,311.93912776500673
38.0,862,27.198902513036384,0.0001,0.0200531478547935,333.406195619442,311.1494227393733
40.1,1004,26.722672898960845,0.0001,0.0231170924437251,338.814224992061,313.24794320694224
40.6,940,25.520032540815393,0.0003020408163265306,0.0227189818484674,337.712943456922,313.7436350793664
40.7,762,23.69362554259678,0.0003020408163265306,0.0212145589169592,333.428643556337,313.8365330392553
38.6,704,28.71503885863231,0.0001,0.0166796067704214,330.021985597896,311.74768076585957
40.2,858,25.5581879094708,0.0003020408163265306,0.0212673347517141,335.336350833986,313.34266620555064
41.5,953,23.699800359875177,0.0003020408163265306,0.0243037464615422,338.852893714227,314.6391837303013
42.3,1010,27.84664140756954,0.0003020408163265306,0.0233016786582234,340.961364500250,315.44620049898174
42.900000000000006,988,24.969493731162753,0.0003020408163265306,0.0247711487788749,340.977870134317,316.03969579295887
43.1,909,28.10371901199153,0.0003020408163265306,0.0220154950818486,339.251564209178,316.2431264198932
42.900000000000006,766,24.541234304248434,0.0003020408163265306,0.0219444773141366,335.574972739255,316.0342680392192
42.400000000000006,602,27.662219502867504,0.0003020408163265306,0.0174956033432931,331.039272134518,315.53709837726444
