Tamb,I,Tcoolant_in,mass_flowrate_optimal,efficiency_gain_optimal
30.9,393,25.35789912443267,0.0001,0.00711169528104562
29.0,184,28.96573063477461,0.004746938775510205,0.00271392602649900
19.6,124,24.02742492998083,0.006969387755102042,0.00550082319771620
22.3,326,23.203473598855155,0.0065653061224489806,0.00929519973609066
25.1,536,29.238230063428624,0.008787755102040816,0.0130846831282838
27.5,728,22.611519161374513,0.005959183673469389,0.0165253927807632
29.6,886,20.83465794304137,0.004544897959183674,0.0192045885390689
31.3,992,22.974169785124715,0.005757142857142858,0.0208081345153386
32.6,1034,23.27319328881682,0.005555102040816327,0.0211320444670750
33.5,1014,26.24263513656055,0.0065653061224489806,0.0202368340434293
33.9,932,23.78478564009102,0.003736734693877551,0.0181898711686080
33.800000000000004,794,23.890828298309806,0.0001,0.0150907064931744
33.300000000000004,612,25.702366729054404,0.0003020408163265306,0.0110707427547469
32.300000000000004,403,25.41514406511543,0.0001,0.00725216033965558
30.0,191,26.351135097694005,0.0001,0.00295627536665687
20.700000000000003,128,28.662878284090237,0.008383673469387756,0.00508969500708569
23.9,331,25.34754647092281,0.006767346938775511,0.00867253255885342
27.1,542,24.245606502988437,0.005757142857142858,0.0123000365695395
29.8,732,26.836514525560144,0.006969387755102042,0.0155163158003771
32.0,890,21.291579279588095,0.0015142857142857145,0.0181489995490418
33.5,994,25.54150232567641,0.005959183673469389,0.0197854078728970
34.6,1039,26.986540865289943,0.0065653061224489806,0.0202687405575225
35.2,1015,24.636001414311284,0.004342857142857144,0.0194452222926183
35.300000000000004,932,24.4080556249011,0.0025244897959183677,0.0175202584097735
35.1,794,21.73652292499496,0.0003020408163265306,0.0156849539565738
34.5,612,24.365935139821012,0.0001,0.0112491917809979
33.5,405,26.58858481600296,0.0001,0.00674641017287757
31.3,193,26.123857048604012,0.0001,0.00330413330833017
23.1,129,23.264248904392275,0.004342857142857144,0.00403507204942334
26.5,332,24.934886536296975,0.004948979591836736,0.00749920187649414
30.4,544,24.102662942451236,0.002120408163265306,0.0108101954988402
33.2,735,21.618589433286054,0.0003020408163265306,0.0146353148860247
34.9,892,22.605938792560835,0.0001,0.0169945728639352
36.1,997,22.41034902423502,0.0001,0.0188033602402618
36.9,1039,29.944279313991473,0.006969387755102042,0.0191531071315586
37.4,1019,24.29559967644704,0.0001,0.0185570511555544
37.5,936,21.55978954242199,0.0003020408163265306,0.0182042874097805
37.3,800,29.297231059004336,0.004342857142857144,0.0135408215051964
36.7,619,25.801637598994883,0.0003020408163265306,0.0107480506488049
35.6,410,21.51509646545247,0.0003020408163265306,0.0100338255200175
33.0,197,24.37696428864324,0.0001,0.00473252917441638
24.4,131,25.846090805488647,0.005353061224489797,0.00348766551846540
28.0,338,27.23916737824318,0.005555102040816327,0.00694959051986910
31.8,553,23.196216701655256,0.0001,0.0108732457654364
34.5,748,27.863711416527966,0.004948979591836736,0.0136645113598278
36.1,904,26.49960986167685,0.003938775510204082,0.0164939115063762
37.3,1007,23.3451660639263,0.0003020408163265306,0.0183441452512892
38.1,1050,25.928559956267136,0.002726530612244898,0.0188360151997138
38.5,1030,24.74369008560991,0.0001,0.0183254102630946
38.6,946,22.495337281612695,0.0003020408163265306,0.0179187791070561
38.400000000000006,808,25.678671057903852,0.0003020408163265306,0.0140179254334119
37.7,625,25.678704612157453,0.0003020408163265306,0.0110327920942156
36.6,414,20.886842606345567,0.0003020408163265306,0.0107140484894461
33.9,199,21.549514507664547,0.0001,0.00668790052649767
24.3,131,25.11805553220632,0.004948979591836736,0.00353517603273434
27.6,338,21.500087945513105,0.0001,0.00791096653327682
31.1,552,25.57276754897266,0.003736734693877551,0.0106679905961535
33.4,745,27.965465218269983,0.005757142857142858,0.0141130478608043
34.800000000000004,899,20.150368673087403,0.0003020408163265306,0.0182065196810761
35.7,1000,24.994832398691425,0.003938775510204082,0.0188656719708682
36.3,1040,26.92445928907495,0.005555102040816327,0.0194719234581777
36.7,1015,22.89188357848901,0.0003020408163265306,0.0188016481964994
36.7,927,28.119151416781598,0.005151020408163266,0.0167255193381472
36.3,784,26.366049190306637,0.0001,0.0136929504436992
35.2,603,24.97552687117521,0.0001,0.0108400574365869
33.5,397,26.648946893378582,0.0001,0.00658168806119985
30.8,190,21.697971051079687,0.0001,0.00592518962122703
18.6,132,21.74892573476743,0.00636326530612245,0.00616544203757430
22.0,338,23.329561146465043,0.006767346938775511,0.00972945847291895
25.3,552,24.918183115240907,0.0071714285714285725,0.0133831020549354
27.6,746,22.977992168985136,0.006161224489795919,0.0168993318914775
29.5,902,25.104472910490873,0.007373469387755103,0.0196102272835292
30.9,1006,26.48004474645153,0.0077775510204081645,0.0213124248061671
31.9,1048,26.552291263347175,0.007575510204081634,0.0217803798741995
32.5,1026,23.65619830110268,0.005757142857142858,0.0209982597440355
32.7,943,23.079786908821518,0.004342857142857144,0.0190173739248901
32.4,804,27.177446729264314,0.00636326530612245,0.0159559070227791
31.700000000000003,622,24.846531788565756,0.002928571428571429,0.0120461697042487
30.5,412,24.99346071867146,0.0001,0.00766270163942880
28.3,198,26.965012482153256,0.0035346938775510208,0.00338280041032727
21.6,123,18.9425825212091,0.0001,0.00501039265962971
