Tamb,I,Tcoolant_in,mass_flowrate_optimal
26.700000000000003,321,25.956993467540308,0.0001
29.3,529,22.218935551035187,0.0017163265306122451
31.200000000000003,716,24.45285871865046,0.0001
32.2,866,25.69586769426044,0.0001
26.0,525,24.648947900361833,0.0001
28.0,693,24.089647800636342,0.0001
31.4,1017,21.677597632202573,0.0001
31.9,995,28.270055274093664,0.0001
32.0,912,25.398850975972387,0.0001
31.5,777,27.04342959911542,0.0001
30.4,601,25.581680525413535,0.0001
28.700000000000003,397,25.195242916085395,0.0001
26.6,194,20.8529589511983,0.0035346938775510208
19.8,128,25.890263613186157,0.0001
22.9,328,27.066676356911966,0.0001
25.700000000000003,536,21.132476206904443,0.0001
27.700000000000003,727,24.601363839849792,0.0001
29.3,878,27.06855526542784,0.0001
30.6,980,23.83762726025583,0.0001
31.700000000000003,1025,22.210347208538927,0.0001
32.4,1003,24.2124118192687,0.0001
32.0,608,26.162364917240225,0.0001
31.0,404,26.364802003257495,0.0001
29.3,197,27.99055556141032,0.0001
21.9,125,25.25149084422748,0.0001
24.5,324,30.227067930336624,0.0001
27.0,532,26.058475957936587,0.0001
29.4,722,22.183119809566936,0.0001
31.700000000000003,879,30.711164859022528,0.0001
33.300000000000004,987,25.492037150755312,0.0001
34.4,1033,23.611532935048935,0.0001
35.1,1013,28.194539559195675,0.0001
35.4,935,25.2759434443683,0.0001
35.300000000000004,801,26.831308606894126,0.0001
34.9,624,25.049468590660187,0.002928571428571429
34.0,420,26.456243087262933,0.003130612244897959
32.1,210,23.323381804548255,0.004342857142857144
24.4,130,22.415767463423492,0.0015142857142857145
27.6,329,25.966276207575735,0.0001
30.4,539,23.083010773134706,0.0019183673469387757
32.5,730,24.781082807697953,0.0001
34.2,885,22.96605913110839,0.0015142857142857145
35.4,990,21.770738246925774,0.0001
36.3,1036,28.11822524764996,0.0001
36.8,1015,21.694895867678724,0.0001
37.1,933,21.62339978710477,0.0001
37.1,799,26.862080144754124,0.0017163265306122451
36.6,620,25.837997591757496,0.0001
35.7,415,28.26741568034544,0.002928571428571429
33.800000000000004,205,25.89708813720658,0.004140816326530613
24.700000000000003,124,22.888366684355614,0.001312244897959184
27.4,319,21.919050723505375,0.0025244897959183677
29.8,525,22.663124867655768,0.0019183673469387757
32.1,715,25.63030521071338,0.0001
34.1,870,25.64475947652591,0.0001
35.800000000000004,977,27.50383655588172,0.0001
37.0,1024,26.579103173558366,0.0001
37.7,1009,23.123153297840215,0.0001
37.9,933,24.169894909856634,0.0001
37.7,801,25.57329931262601,0.0001
37.1,625,24.167926484027706,0.0001
36.0,420,25.752724891305146,0.004140816326530613
33.9,211,27.102190032907465,0.003736734693877551
25.4,116,26.276942320330182,0.0001
27.5,314,25.530095844254,0.0001
29.8,499,29.542080535585935,0.0001
31.700000000000003,700,28.199345312702185,0.0001
33.1,852,26.435146810476613,0.0001
34.0,955,26.492542702762194,0.0001
34.7,1000,29.682846198406647,0.0001
35.5,981,28.154734365842195,0.0001
36.2,902,25.098697606847534,0.0001
36.6,772,26.341673391403162,0.0019183673469387757
36.4,599,25.312550845210794,0.0035346938775510208
35.7,400,27.393207802143174,0.0035346938775510208
34.1,198,23.92671775333843,0.004746938775510205
27.6,126,28.478990499259886,0.0001
30.9,324,25.53657606397519,0.0025244897959183677
33.7,530,26.70120713303612,0.0017163265306122451
35.7,720,26.34947312277553,0.0017163265306122451
37.3,872,24.67066715028358,0.0001
38.6,974,25.11173660350452,0.0001
39.5,1020,28.87773016077124,0.0001
